rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
257,Comcast (Xfinity),"Mountain Communications, LLC","Mountain Communications, LLC",1805,0.005,3471,52.002,1805,0
258,Comcast (Xfinity),"Acme Communications, Inc.","Acme Communications, Inc.",1792,0.005,2020,88.713,1792,0
259,Comcast (Xfinity),"Virginia Everywhere, LLC","Virginia Everywhere, LLC",1776,0.005,25263,7.03,1776,0
260,Comcast (Xfinity),"Ballard Rural Telephone Cooperative Corporation, Inc.","Ballard Rural Telephone Cooperative Corporation, Inc.",1689,0.004,6630,25.475,1689,0
261,Comcast (Xfinity),Southeastern Indiana Rural Telephone Cooperative,Southeastern Indiana Rural Telephone Cooperative,1670,0.004,8326,20.058,1670,0
262,Comcast (Xfinity),WVVA.net Inc.,WVVA.net Inc.,1641,0.004,4068,40.339,1641,0
263,Comcast (Xfinity),Pea River Electric Cooperative,Pea River Electric Cooperative,1639,0.004,20228,8.103,1639,0
264,Comcast (Xfinity),TEPA Connect LLC,TEPA Connect LLC,1585,0.004,10551,15.022,1585,0
265,Comcast (Xfinity),"Bloomingdale Telephone Company, Inc.","Bloomingdale Telephone Company, Inc.",1572,0.004,9683,16.235,1572,0
266,Comcast (Xfinity),RJB Telecommunications Corp.,RJB Telecommunications Corp.,1571,0.004,13174,11.925,517,1435
267,Comcast (Xfinity),Duke Broadband Inc.,Duke Broadband Inc.,1566,0.004,2037,76.878,1566,0
268,Comcast (Xfinity),"Electric Plant Board of the City of Paducah, Kentucky","Electric Plant Board of the City of Paducah, Kentucky",1561,0.004,1561,100.0,1561,0
269,Comcast (Xfinity),"Maverix Broadband, Inc.","Maverix Broadband, Inc.",1557,0.004,6783,22.954,1557,0
270,Comcast (Xfinity),Plant Telephone Company,Plant Telephone Company,1543,0.004,26773,5.763,1543,0
271,Comcast (Xfinity),"Quantum Telecommunications, Inc.","Quantum Telecommunications, Inc.",1521,0.004,2797,54.38,1521,0
272,Comcast (Xfinity),Ellijay Telephone Company,Ellijay Telephone Company,1509,0.004,53645,2.813,1180,501
273,Comcast (Xfinity),Altamaha Electric Corporation,Altamaha Electric Corporation,1497,0.004,18952,7.899,1497,0
274,Comcast (Xfinity),"Hickory Utility Services, Inc.","Hickory Utility Services, Inc.",1453,0.004,7516,19.332,1453,0
275,Comcast (Xfinity),Duo County Telephone Cooperative Inc.,Duo County Telephone Cooperative Inc.,1448,0.004,26042,5.56,1448,0
276,Comcast (Xfinity),EATEL Corp.,EATEL Corp.,1441,0.004,91270,1.579,1439,2
277,Comcast (Xfinity),Vyve Broadband,Vyve Broadband,1426,0.004,560197,0.255,1,1425
278,Comcast (Xfinity),Davis Communications Inc.,Davis Communications Inc.,1426,0.004,3582,39.81,0,1426
279,Comcast (Xfinity),"Declaration Networks Group, Inc.","Declaration Networks Group, Inc.",1355,0.003,3918,34.584,761,594
280,Comcast (Xfinity),"Gargoyle Technologies, Inc.","Gargoyle Technologies, Inc.",1354,0.003,3305,40.968,1354,0
281,Comcast (Xfinity),AMG Technology Investment Group LLC,AMG Technology Investment Group LLC,1332,0.003,103541,1.286,1332,0
282,Comcast (Xfinity),Fort Pierce Utilities Authority,Fort Pierce Utilities Authority,1305,0.003,1324,98.565,1305,0
283,Comcast (Xfinity),Douglas Electric Cooperative Inc.,Douglas Electric Cooperative Inc.,1285,0.003,56411,2.278,1285,0
284,Comcast (Xfinity),"Centre WISP Venture Company, LLC","Centre WISP Venture Company, LLC",1282,0.003,5435,23.588,1282,0
285,Comcast (Xfinity),Seimitsu Corporation,Seimitsu Corporation,1260,0.003,1296,97.222,1260,0
286,Comcast (Xfinity),Digital Network Access Communications Inc.,Digital Network Access Communications Inc.,1225,0.003,1325,92.453,1225,0
287,Comcast (Xfinity),Scatter Creek Ltd.,Scatter Creek Ltd.,1201,0.003,2360,50.89,1201,0
288,Comcast (Xfinity),Lakeland Internet,Lakeland Internet,1193,0.003,3612,33.029,1193,0
289,Comcast (Xfinity),"ACU Global, LLC","ACU Global, LLC",1186,0.003,1187,99.916,1186,0
290,Comcast (Xfinity),Addison County Communications Union District,Addison County Communications Union District,1128,0.003,3348,33.692,1128,0
291,Comcast (Xfinity),Signal West LLC,Signal West LLC,1128,0.003,1169,96.493,1128,0
