rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
447,Charter (Spectrum),"City of Bardstown, KY","City of Bardstown, KY",433,0.001,17769,2.437,274,417
448,Charter (Spectrum),Innercity Fibernet LLC,Innercity Fibernet LLC,422,0.001,467,90.364,422,0
449,Charter (Spectrum),"LaValle Telephone Cooperative, Inc.","LaValle Telephone Cooperative, Inc.",420,0.001,3807,11.032,420,0
450,Charter (Spectrum),GLW Broadband Inc.,GLW Broadband Inc.,406,0.001,9321,4.356,0,406
451,Charter (Spectrum),Biddeford Internet Corporation,Biddeford Internet Corporation,405,0.001,1927,21.017,405,0
452,Charter (Spectrum),Altamaha Electric Corporation,Altamaha Electric Corporation,404,0.001,18952,2.132,404,0
453,Charter (Spectrum),Ayersville Telephone Company,Ayersville Telephone Company,400,0.001,1095,36.53,400,0
454,Charter (Spectrum),"Bays-ET Highspeed, LLC","Bays-ET Highspeed, LLC",396,0.001,1318,30.046,396,0
455,Charter (Spectrum),Pattersonville Telephone Company (NY),Pattersonville Telephone Company (NY),388,0.001,559,69.41,388,0
456,Charter (Spectrum),Wyoming.Com,Wyoming.Com,385,0.001,486,79.218,385,0
457,Charter (Spectrum),"Air Link Rural Broadband, LLC","Air Link Rural Broadband, LLC",370,0.001,7479,4.947,370,0
458,Charter (Spectrum),"On-Ramp Indiana, Inc.","On-Ramp Indiana, Inc.",366,0.001,1335,27.416,366,0
459,Charter (Spectrum),North Coast Wireless Communications,North Coast Wireless Communications,351,0.001,2929,11.984,351,0
460,Charter (Spectrum),"Bloomingdale Telephone Company, Inc.","Bloomingdale Telephone Company, Inc.",351,0.001,9683,3.625,351,0
461,Charter (Spectrum),"InterBel Telephone Cooperative, Inc.","InterBel Telephone Cooperative, Inc.",349,0.001,5721,6.1,349,0
462,Charter (Spectrum),Surfnet Communications,Surfnet Communications,328,0.001,3455,9.493,328,0
463,Charter (Spectrum),Pioneer Telephone Cooperative (OR),Pioneer Telephone Cooperative (OR),324,0.001,3893,8.323,324,0
464,Charter (Spectrum),Oak Run Associates Ltd.,Oak Run Associates Ltd.,319,0.001,4458,7.156,0,319
465,Charter (Spectrum),Buckland Telephone Co.,Buckland Telephone Co.,317,0.001,807,39.281,317,0
466,Charter (Spectrum),Electric and Water Plant Board of the City of Frankfort,Electric and Water Plant Board of the City of Frankfort,315,0.001,18762,1.679,315,302
467,Charter (Spectrum),City of North Kansas,City of North Kansas,310,0.001,404,76.733,310,0
468,Charter (Spectrum),"Vernon Telephone Cooperative, Inc.","Vernon Telephone Cooperative, Inc.",305,0.001,14564,2.094,305,0
469,Charter (Spectrum),"DCM Cable, Inc.","DCM Cable, Inc.",296,0.001,2294,12.903,36,260
470,Charter (Spectrum),RTA of America,RTA of America,290,0.001,993,29.204,290,0
471,Charter (Spectrum),"Broadband MDU Holdings, LLC","Broadband MDU Holdings, LLC",287,0.001,345,83.188,287,0
472,Charter (Spectrum),Town of Shrewsbury,Town of Shrewsbury,287,0.001,11033,2.601,226,197
473,Charter (Spectrum),"Sherwood Mutual Telephone Association, Inc.","Sherwood Mutual Telephone Association, Inc.",273,0.001,4962,5.502,273,0
474,Charter (Spectrum),Habersham Electric Membership Corporation,Habersham Electric Membership Corporation,269,0.001,32123,0.837,269,0
475,Charter (Spectrum),"Consolidated Companies, Inc.","Consolidated Companies, Inc.",269,0.001,5931,4.535,269,0
476,Charter (Spectrum),Holland Board of Public Works,Holland Board of Public Works,257,0.001,10158,2.53,257,0
477,Charter (Spectrum),Fail Telecommunication Corporation,Fail Telecommunication Corporation,251,0.001,13021,1.928,251,0
478,Charter (Spectrum),Farmers Mutual Telephone Company (OH),Farmers Mutual Telephone Company (OH),248,0.001,1467,16.905,248,0
479,Charter (Spectrum),"Schwartz Ventures, Inc.","Schwartz Ventures, Inc.",247,0.001,14242,1.734,247,0
480,Charter (Spectrum),Scott County Telephone Cooperative,Scott County Telephone Cooperative,236,0.001,47277,0.499,236,0
481,Charter (Spectrum),"Nevill Holdings, Inc.","Nevill Holdings, Inc.",226,0.001,14574,1.551,226,0
482,Charter (Spectrum),Gardonville Cooperative Telephone Association,Gardonville Cooperative Telephone Association,222,0.001,5515,4.025,222,0
483,Charter (Spectrum),"Cajun Broadband, Inc.","Cajun Broadband, Inc.",220,0.001,5465,4.026,220,0
484,Charter (Spectrum),Allband Communications Cooperative,Allband Communications Cooperative,218,0.001,2403,9.072,218,0
485,Charter (Spectrum),Pine Belt Communications Co. Inc.,Pine Belt Communications Co. Inc.,213,0.001,8806,2.419,213,0
486,Charter (Spectrum),ConnectTo Communications Inc.,ConnectTo Communications Inc.,211,0.001,214,98.598,211,0
487,Charter (Spectrum),Cable TV of East Alabama,Cable TV of East Alabama,204,0.001,40432,0.505,204,4
488,Charter (Spectrum),"Virginia Everywhere, LLC","Virginia Everywhere, LLC",204,0.001,25263,0.808,204,0
489,Charter (Spectrum),"FastTrack Communications, Inc.","FastTrack Communications, Inc.",200,0.001,509,39.293,200,0
490,Charter (Spectrum),Fort Jennings Telephone Company,Fort Jennings Telephone Company,197,0.001,1298,15.177,197,0
491,Charter (Spectrum),Broadband Corp.,Broadband Corp.,196,0.001,13184,1.487,196,0
492,Charter (Spectrum),"Colorado Valley Telephone Cooperative, Inc.","Colorado Valley Telephone Cooperative, Inc.",195,0.001,11505,1.695,195,0
493,Charter (Spectrum),SonicNet Inc.,SonicNet Inc.,195,0.001,610,31.967,195,0
494,Charter (Spectrum),"Citizens Telephone Company of Hammond NY, Inc.","Citizens Telephone Company of Hammond NY, Inc.",194,0.001,7590,2.556,194,0
495,Charter (Spectrum),Northern Arapaho Tribal Industries,Northern Arapaho Tribal Industries,192,0.001,1284,14.953,192,0
496,Charter (Spectrum),Hankins Information Technology,Hankins Information Technology,191,0.001,2508,7.616,191,0
497,Charter (Spectrum),"JB-Nets, LLC","JB-Nets, LLC",183,0.001,1671,10.952,183,0
498,Charter (Spectrum),"Adirondack Techs, LLC","Adirondack Techs, LLC",181,0.001,1602,11.298,181,0
499,Charter (Spectrum),Adams CATV Inc.,Adams CATV Inc.,180,0.001,37007,0.486,21,159
500,Charter (Spectrum),"Claverack Communications, Inc.","Claverack Communications, Inc.",177,0.0,12100,1.463,177,0
501,Charter (Spectrum),"Lightwave Communications, LLC","Lightwave Communications, LLC",177,0.0,484,36.57,177,0
502,Charter (Spectrum),Newaygo County Regional Educational Service Agency,Newaygo County Regional Educational Service Agency,177,0.0,407,43.489,177,0
503,Charter (Spectrum),Prince George Electric Cooperative,Prince George Electric Cooperative,175,0.0,13312,1.315,175,0
504,Charter (Spectrum),South Hadley Electric Light Department,South Hadley Electric Light Department,172,0.0,7652,2.248,172,0
505,Charter (Spectrum),City of Dickson Department of Electricity,City of Dickson Department of Electricity,167,0.0,18301,0.913,167,0
506,Charter (Spectrum),"Bruce Telephone Company, Inc.","Bruce Telephone Company, Inc.",166,0.0,1773,9.363,166,0
507,Charter (Spectrum),Benton Cooperative Telephone Company,Benton Cooperative Telephone Company,156,0.0,11205,1.392,156,0
508,Charter (Spectrum),"Gigabeam Internet, LLC","Gigabeam Internet, LLC",153,0.0,155,98.71,153,0
509,Charter (Spectrum),Northwest Open Access Network,Northwest Open Access Network,149,0.0,2440,6.107,149,0
510,Charter (Spectrum),Rural Communications Holding Corporation,Rural Communications Holding Corporation,148,0.0,28900,0.512,148,0
511,Charter (Spectrum),West Central Telephone Assn.,West Central Telephone Assn.,147,0.0,7271,2.022,147,0
512,Charter (Spectrum),"DMCI Broadband, LLC","DMCI Broadband, LLC",145,0.0,2911,4.981,145,0
513,Charter (Spectrum),"Myakka Communications, Inc.","Myakka Communications, Inc.",145,0.0,4950,2.929,145,0
514,Charter (Spectrum),Westfield Gas & Electric,Westfield Gas & Electric,135,0.0,26848,0.503,135,0
